Symbol,Company Name,Listing Date,ipo_raised_fund,ipo_price,1d_price_movement_after_listed,7d_price_movement_after_listed,30d_price_movement_after_listed,180d_price_movement_after_listed,365d_price_movement_after_listed,underwriter
BREN,PT Barito Renewables Energy Tbk,09-Oct-23,3131700000,780,25,203,464,,,BNI SEKURITAS
STRK,PT Lovina Beach Brewery Tbk,10-Oct-23,118000000,100,35,128,210,,,ARTHA SEKURITAS INDONESIA
LOPI,PT Logisticsplus International Tbk,11-Oct-23,30000000,100,-10,-14,-30,,,ELIT SUKSES SEKURITAS
KOKA,PT Koka Indonesia Tbk,11-Oct-23,91563000,128,33,-13,-52,,,UOB KAY HIAN SEKURITAS
UDNG,PT Agro Bahari Nusantara Tbk,31-Oct-23,50000000,100,10,-5,20,,,MNC SEKURITAS; KB VALBURY SEKURITAS
IKPM,PT Ikapharmindo Putramas Tbk,08-Nov-23,55594000,165,10,5,16,,,OCBC SEKURITAS INDONESIA
MSTI,PT Mastersystem Infotama Tbk,08-Nov-23,637966000,1355,7,2,0,,,INDO PREMIER SEKURITAS
RGAS,PT Kian Santang Muliatama Tbk,08-Nov-23,40104000,120,4,-8,-13,,,ERDIKHA ELIT SEKURITAS
AYAM,PT Janu Putra Sejahtera Tbk,30-Nov-23,80000000,100,35,11,10,,,UOB KAY HIAN SEKURITAS
SURI,PT Maja Agung Latexindo Tbk,07-Dec-23,215369000,170,-5,-4,-1,,,SHINHAN SEKURITAS INDONESIA
